sr,sg,sb,cr,cg,cb,mr,mg,mb,tr,tg,tb,y_matrix,y_target,rr,rg,rb
0.07450981,0.09019608,0.101960786,0.043137256,0.05882353,0.0627451,0.07994264,0.11456966,0.07397164,0.044438317,0.0636867,0.04111917,0.10427678,0.055771764,-0.0013010614,-0.004863169,0.021625932
0.039215688,0.011764706,0.039215688,0.011764706,0.0,0.007843138,0.03859697,0.02516571,0.026859405,0.0121370675,0.0079135215,0.008446114,0.02814348,0.003067451,-0.0003723614,-0.0079135215,-0.0006029764
0.07450981,0.06666667,0.07058824,0.03529412,0.043137256,0.039215688,0.07632883,0.086852826,0.0499401,0.038865454,0.04422411,0.025428725,0.08195033,0.041186668,-0.0035713352,-0.0010868534,0.013786962
0.11764706,0.101960786,0.15686275,0.08627451,0.07450981,0.11764706,0.12302518,0.14365143,0.112124376,0.07464855,0.08716403,0.06803422,0.13699004,0.08012549,0.0116259605,-0.012654223,0.049612843
0.011764706,0.050980393,0.08627451,0.0,0.023529412,0.047058824,0.019546987,0.06579373,0.06479173,0.008481463,0.028547985,0.028113218,0.055889327,0.020225883,-0.008481463,-0.0050185733,0.018945606
0.08235294,0.08235294,0.11372549,0.05490196,0.043137256,0.07058824,0.087155655,0.111251324,0.08181614,0.048414383,0.061799366,0.045448314,0.10400336,0.047620393,0.006487578,-0.01866211,0.025139924
0.023529412,0.05882353,0.08627451,0.007843138,0.02745098,0.039215688,0.030729003,0.0747657,0.064369045,0.014288713,0.03476538,0.029931033,0.06465286,0.024131766,-0.0064455755,-0.0073144007,0.009284655
0.03137255,0.047058824,0.050980393,0.019607844,0.019607844,0.02745098,0.034809314,0.058089618,0.037435066,0.01448366,0.024170265,0.015576199,0.051648967,0.020174118,0.0051241834,-0.004562421,0.011874782
0.09803922,0.09019608,0.13333334,0.0627451,0.05882353,0.08235294,0.10306047,0.124958575,0.09557177,0.059552368,0.072205946,0.055225104,0.1181813,0.061356083,0.003192734,-0.013382416,0.02712784
0.05882353,0.050980393,0.0627451,0.047058824,0.039215688,0.050980393,0.060563687,0.06854885,0.04452223,0.028246643,0.03197089,0.020764977,0.06511649,0.04173255,0.018812181,0.0072447993,0.030215416
0.105882354,0.07058824,0.08235294,0.07450981,0.039215688,0.043137256,0.10561987,0.09795126,0.05678063,0.057269387,0.053111304,0.03078769,0.09660909,0.047002356,0.01724042,-0.013895616,0.012349566
0.09803922,0.11764706,0.13333334,0.06666667,0.08627451,0.101960786,0.10506248,0.14964887,0.096682,0.06358691,0.090571925,0.058514804,0.1363456,0.08323844,0.003079757,-0.004297413,0.043445982
0.043137256,0.0627451,0.07450981,0.015686275,0.03137255,0.03529412,0.047986686,0.07903125,0.05463953,0.023070969,0.03799653,0.026269514,0.07067009,0.028320786,-0.0073846933,-0.0066239797,0.009024605
0.03529412,0.11764706,0.19215687,0.023529412,0.078431375,0.11372549,0.052034125,0.15170987,0.14390294,0.03088151,0.09003764,0.085404344,0.12995514,0.069307454,-0.007352097,-0.011606261,0.028321147
0.023529412,0.0627451,0.09803922,0.011764706,0.03137255,0.047058824,0.03172668,0.08075053,0.07318262,0.015186733,0.03865317,0.035030607,0.06978166,0.028336473,-0.0034220265,-0.007280618,0.012028217
0.12156863,0.101960786,0.1254902,0.07058824,0.0627451,0.07450981,0.124664046,0.1377369,0.08879783,0.07422417,0.08200766,0.052869655,0.13142422,0.06526197,-0.003635928,-0.01926256,0.021640152
0.023529412,0.015686275,0.019607844,0.011764706,0.011764706,0.011764706,0.023550158,0.022040019,0.013579581,0.0066777947,0.006249585,0.003850575,0.021750232,0.011764706,0.0050869114,0.005515121,0.0079141315
0.03529412,0.02745098,0.03137255,0.007843138,0.015686275,0.003921569,0.035729855,0.03699682,0.021970471,0.012372714,0.012811444,0.007608045,0.03564256,0.0131694125,-0.004529576,0.0028748317,-0.003686476
0.078431375,0.05490196,0.0627451,0.07058824,0.05490196,0.05882353,0.07853305,0.07527204,0.04344768,0.03835197,0.03675944,0.021217871,0.073667616,0.05852,0.032236267,0.018142521,0.03760566
0.11764706,0.105882354,0.14117648,0.07450981,0.078431375,0.09411765,0.12236228,0.14390175,0.10074302,0.0740162,0.0870453,0.06093884,0.1362064,0.0787302,0.0004936084,-0.008613922,0.03317881
0.05490196,0.05882353,0.06666667,0.03529412,0.03529412,0.043137256,0.057836246,0.07578324,0.047971055,0.02770902,0.036307324,0.022982663,0.06995966,0.035860393,0.007585099,-0.0010132045,0.020154594
0.09019608,0.09411765,0.101960786,0.043137256,0.05882353,0.05490196,0.09437532,0.12065364,0.07314372,0.05364082,0.06857683,0.041573253,0.11163665,0.05520549,-0.010503564,-0.009753298,0.013328709
0.09019608,0.09803922,0.14509805,0.07450981,0.07450981,0.105882354,0.0972708,0.13319218,0.10503721,0.05709832,0.07818431,0.06165723,0.123522505,0.0767749,0.017411485,-0.0036744997,0.044225123
0.02745098,0.019607844,0.023529412,0.007843138,0.007843138,0.007843138,0.027610054,0.027025621,0.016376544,0.008458451,0.008279407,0.00501702,0.026381008,0.007843138,-0.00061531365,-0.00043626968,0.002826118
0.03137255,0.101960786,0.18039216,0.015686275,0.07058824,0.11372549,0.04664177,0.13450429,0.13486019,0.026807183,0.07730584,0.07751039,0.11585041,0.06203059,-0.011120908,-0.0067176,0.036215104
0.1254902,0.11764706,0.12156863,0.09019608,0.08235294,0.08627451,0.1291075,0.15166563,0.08630061,0.07981971,0.09376609,0.05335468,0.14215042,0.084303536,0.010376371,-0.01141315,0.03291983
0.12156863,0.08627451,0.09803922,0.08235294,0.05882353,0.06666667,0.12185946,0.117893666,0.06796848,0.06994012,0.06766399,0.039009884,0.1151322,0.06439216,0.012412824,-0.00884046,0.027656786
